,Ixx,Ixy,Iyy,Ixr,Ixg,Ixb,Iyr,Iyg,Iyb,Irr,Irg,Irb,Igg,Igb,Ibb,Target
0,9,750,62500,186,99,45,15500,8250,3750,4,254,162,65,239,225,0
1,4,25,156.25,108,54,20,675,337.5,125,100,178,28,217,14,100,0
2,0,0,900,0,0,0,2520,1740,1290,144,8,28,36,190,57,0
3,63504,504,4,27720,22176,18900,220,176,150,68,208,58,64,200,249,0
4,63504,24696,9604,20664,16128,13104,8036,6272,5096,68,128,168,0,0,144,0
5,64516,27305,11556.25,11684,7366,5334,4945,3117.5,2257.5,68,54,198,73,97,185,0
6,0,0,16129,0,0,0,4699,3048,2286,89,120,154,64,176,68,0
7,0,0,0.25,0,0,0,20,14.5,12.5,64,136,232,73,213,113,0
8,25,635,16129,180,130,120,4572,3302,3048,16,168,96,164,112,64,0
9,9,0,0,111,81,75,0,0,0,89,231,157,217,163,113,0
10,0,0,15750.25,0,0,0,4643.5,3263,2761,89,194,46,164,60,228,0
11,0,0,14884,0,0,0,4148,2562,1830,132,202,254,185,59,225,0
12,4,244,14884,56,26,12,3416,1586,732,16,108,168,169,78,36,0
13,64,1008,15876,200,64,0,3150,1008,0,113,200,0,64,0,0,0
14,144,6,0.25,312,96,0,13,4,0,164,208,0,64,0,0,0
15,256,64,16,432,144,0,108,36,0,217,243,0,81,0,0,0
16,49,49,49,231,126,0,231,126,0,65,82,0,68,0,0,0
17,49,49,49,280,175,42,280,175,42,64,232,240,113,150,36,0
18,36,42,49,282,192,78,329,224,91,161,224,99,0,160,169,0
19,9,33,121,165,117,69,605,429,253,209,97,241,241,129,17,0
20,0,0,306.25,0,0,0,1225,945,665,36,196,100,100,4,164,0
21,62500,3375,182.25,22250,18250,14500,1201.5,985.5,783,241,97,42,209,138,36,0
22,60516,369,2.25,23616,19680,16482,144,120,100.5,0,0,32,0,240,137,0
23,59049,30496.5,15750.25,22599,18468,16038,11671.5,9538,8283,201,156,250,144,152,4,0
24,55696,27848,13924,21476,17464,15576,10738,8732,7788,89,78,118,100,20,4,0
25,60025,26337.5,11556.25,17640,13475,11760,7740,5912.5,5160,64,120,128,209,80,0,0
26,0,0,12882.25,0,0,0,5788.5,3745.5,3291.5,41,147,199,65,189,73,0
