,Ixx,Ixy,Iyy,Ixr,Ixg,Ixb,Iyr,Iyg,Iyb,Irr,Irg,Irb,Igg,Igb,Ibb,Target
0,65025,63495,62001,3060,8415,0,2988,8217,0,144,140,0,65,0,0,0
1,65025,0,0,1020,6120,0,0,0,0,16,96,0,64,0,0,0
2,65025,4590,324,3060,8415,0,216,594,0,144,140,0,65,0,0,0
3,63504,6804,729,10584,15876,5040,1134,1701,540,228,86,72,129,236,144,0
4,62500,3250,169,16500,22000,10250,858,1144,533,4,176,146,64,24,145,0
5,0,0,15129,0,0,0,8241,11070,4674,137,142,242,164,92,164,0
6,100,1200,14400,590,790,260,7080,9480,3120,153,53,254,97,6,164,0
7,289,2006,13924,901,1258,306,6254,8732,2124,249,82,186,100,52,68,0
8,361,2356,15376,741,1102,57,4836,7192,372,241,214,117,36,174,9,0
9,65025,637.5,6.25,11985,16575,3315,117.5,162.5,32.5,161,239,99,129,77,169,0
10,58564,29161,14520.25,10890,15246,3146,5422.5,7591.5,1566.5,233,19,73,129,51,169,0
11,63001,29492.5,13806.25,8032,12048,753,3760,5640,352.5,0,0,96,0,144,9,0
12,400,2530,16002.25,480,780,0,3036,4933.5,0,64,168,0,241,0,0,0
13,1296,288,64,1080,1584,288,240,352,64,132,40,240,144,96,64,0
14,900,225,56.25,1200,1620,630,300,405,157.5,64,112,72,100,110,185,0
15,361,57,9,855,1102,532,135,174,84,233,50,236,36,88,16,0
16,484,99,20.25,1034,1276,924,211.5,261,189,161,166,182,36,132,228,0
17,144,1482,15252.25,648,780,588,6669,8027.5,6051.5,100,182,86,129,113,97,0
18,4,219,11990.25,74,96,68,4051.5,5256,3723,89,240,234,0,96,132,0
19,36,711,14042.25,96,168,84,1896,3318,1659,0,192,224,16,136,196,0
20,100,1270,16129,170,290,170,2159,3683,2159,33,237,33,73,237,33,0
21,169,1618.5,15500.25,156,338,169,1494,3237,1618.5,144,56,156,164,82,169,0
22,81,49.5,30.25,72,216,117,44,132,71.5,64,192,104,64,56,169,0
23,16,34,72.25,80,152,104,170,323,221,144,248,8,164,220,164,0
24,62001,31747.5,16256.25,5478,10458,7470,2805,5355,3825,228,156,148,228,236,132,0
25,64516,31877,15750.25,4064,9906,5842,2008,4894.5,2886.5,0,112,112,241,129,17,0
26,4,4,4,28,76,44,28,76,44,196,20,52,164,68,228,0
27,25,37.5,56.25,90,225,130,135,337.5,195,68,42,212,233,146,164,0
28,65025,1402.5,30.25,6885,14025,8415,148.5,302.5,181.5,217,205,123,209,23,65,0
29,63504,31248,15376,6804,14364,8316,3348,7068,4092,217,3,123,177,89,65,0
30,63001,29618,13924,4518,12048,6024,2124,5664,2832,68,96,176,0,128,64,0
31,63504,30744,14884,1764,9324,2772,854,4514,1342,49,3,77,89,151,121,0
32,62001,871.5,12.25,4233,7968,2241,59.5,112,31.5,33,32,153,0,32,81,0
33,59536,2196,81,5856,9760,3416,216,360,126,64,192,80,64,48,196,0
34,56644,2023,72.25,8092,11900,5712,289,425,204,132,164,48,196,176,64,0
35,55225,822.5,12.25,9635,13395,7285,143.5,199.5,108.5,145,33,247,177,231,193,0
36,55696,29618,15750.25,9440,13688,7552,5020,7279,4016,64,16,0,36,64,0,0
37,57121,28799.5,14520.25,8126,12667,5975,4097,6386.5,3012.5,132,10,82,249,45,113,0
